itemNumber,description,unit
6060047,"BRIDGE SIGN STRUCTURE (SD9.20, TYPE 3F)",EACH
6060048,"BRIDGE SIGN STRUCTURE (SD9.20, TYPE 4F)",EACH
6060049,BRIDGE SIGN STRUCTURE (,EACH
6060051,"BRIDGE SIGN STRUCTURE(TAPERED TUBE,SINGLE BEAM,41'3""-51'3"")",EACH
6060052,"BRIDGE SIGN STRUCTURE(TAPERED TUBE,SINGLE BEAM,51'3""-61'3"")",EACH
6060053,"BRIDGE SIGN STRUCTURE(TAPERED TUBE,SINGLE BEAM,61'3""-71'3"")",EACH
6060054,"BRIDGE SIGN STRUCTURE(TAPERED TUBE,SINGLE BEAM,71'3""-81'3"")",EACH
6060057,"BRIDGE SIGN STRUCTURE (TAPERED TUBE, SINGLE BEAM, 50' TO 70')",EACH
6060058,"BRIDGE SIGN STRUCTURE (TAPERED TUBE, SINGLE BEAM, 70' 1"" TO 85')",EACH
6060059,"BRIDGE SIGN STRUCTURE (TAPERED TUBE, SINGLE BEAM, 85'1"" TO 100')",EACH
6060069,"BRIDGE SIGN STRUCTURE(TAPERED TUBE, SINGLE BEAM) (",EACH
6060073,"BRIDGE SIGN STRUCTURE (TAPERED TUBE, SINGLE BEAM)",EACH
6060074,FOUNDATION FOR BRIDGE SIGN STRUCTURE (TAPERED TUBE),EACH
6060075,"FOUNDATION FOR BRIDGE SIGN STRUCTURE (SD9.20, TYPE 1F)",EACH
6060076,"FOUNDATION FOR BRIDGE SIGN STRUCTURE (SD9.20, TYPE 2F)",EACH
6060078,"FOUNDATION FOR BRIDGE SIGN STRUCTURE (SD9.20, TYPE 3F)",EACH
6060079,"FOUNDATION FOR BRIDGE SIGN STRUCTURE (SD9.20, TYPE 4F)",EACH
6060080,FOUNDATION FOR BRIDGE SIGN STRUCTURE (BUTTERFLY DMS),EACH
6060081,FOUNDATION FOR BRIDGE SIGN STRUCTURE (,EACH
6060082,FOUNDATION FOR BRIDGE SIGN STRUCTURE (,EACH
6060083,FOUNDATION FOR BRIDGE SIGN STRUCTURE (,EACH
6060084,FOUNDATION FOR BRIDGE SIGN STRUCTURE (,EACH
6060088,FOUNDATION FOR BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) ( (,EACH
6060091,FOUNDATION FOR BRIDGE SIGN STRUCTURE (,L.FT.
6060094,COLUMN (OVERHEAD SIGN STRUCTURE) (,EACH
6060096,"COLUMN (19 FT 6"")(BRIDGE SIGN STRUCTURE)",EACH
6060097,"COLUMN (22 FT 6"")(BRIDGE SIGN STRUCTURE)",EACH
6060103,CANTILEVER SIGN STRUCTURE (HWY. STANDARD) (28' ARM),EACH
6060107,CANTILEVER SIGN STRUCTURE (,EACH
6060108,CANTILEVER SIGN STRUCTURE (16' ARM),EACH
6060109,CANTILEVER SIGN STRUCTURE (22' ARM),EACH
6060110,CANTILEVER SIGN STRUCTURE (34' ARM),EACH
6060113,"CANTILEVER SIGN STRUCTURE (12"" TAPERED TUBE,24' DOUBLE ARM)",EACH
6060117,"CANTILEVER SIGN STRUCTURE (14"" TAPERED TUBE,20' DOUBLE ARM)",EACH
6060118,"CANTILEVER SIGN STRUCTURE (14"" TAPERED TUBE,24' DOUBLE ARM)",EACH
6060121,"CANTILEVER SIGN STRUCTURE (15"" TAPERED TUBE,16' DOUBLE ARM)",EACH
6060122,"CANTILEVER SIGN STRUCTURE (15"" TAPERED TUBE,20' DOUBLE ARM)",EACH
6060126,"CANTILEVER SIGN STRUCTURE (18"" TAPERED TUBE,22' DOUBLE ARM)",EACH
6060127,"CANTILEVER SIGN STRUCTURE (18' TAPERED TUBE,24"" DOUBLE ARM)",EACH
6060128,"CANTILEVER SIGN STRUCTURE (18"" TAPERED TUBE,26' DOUBLE ARM)",EACH
6060130,"CANTILEVER SIGN STRUCTURE (18"" TAPERED TUBE,34' DOUBLE ARM)",EACH
6060131,"CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 1C)",EACH
6060132,"CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 2C)",EACH
6060133,"CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 3C)",EACH
6060134,"CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 4C)",EACH
6060146,CANTILEVER SIGN STRUCTURE (TUBULAR) (37'),EACH
6060148,CANTILEVER SIGN STRUCTURE (,EACH
6060149,"CANTILEVER SIGN STRUCTURE (TAPERED TUBE, 55' SINGLE ARM)",EACH
6060151,SIGN STRUCTURE (,EACH
6060152,SIGN STRUCTURE (,EACH
6060153,SIGN STRUCTURE (,EACH
6060154,SIGN STRUCTURE (,EACH
6060155,SIGN STRUCTURE (,EACH
6060156,SIGN STRUCTURE (,EACH
6060157,SIGN STRUCTURE (,EACH
6060158,SIGN STRUCTURE (,EACH
6060159,SIGN STRUCTURE (,EACH
6060160,SIGN STRUCTURE (,EACH
6060161,SIGN STRUCTURE (,EACH
6060162,SIGN STRUCTURE (MEDIAN) (ONE-SIDED),EACH
6060163,SIGN STRUCTURE (MEDIAN) (TWO-SIDED),EACH
6060181,"DRILLED SHAFT FOUNDATION (42"")",EACH
6060239,FOUNDATION FOR SIGN STRUCTURE (MEDIAN),EACH
6060243,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (16' ARM),EACH
6060244,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (22' ARM),EACH
6060245,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (34' ARM),EACH
6060247,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (,EACH
6060248,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (,EACH
6060249,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (,EACH
6060250,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (,EACH
6060251,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (,EACH
6060253,FOUNDATION FOR CANTILEVER SIGN STRUCTURE (,EACH
6060254,"FOUNDATION FOR CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 1C)",EACH
6060255,"FOUNDATION FOR CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 2C)",EACH
6060256,"FOUNDATION FOR CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 3C)",EACH
6060257,"FOUNDATION FOR CANTILEVER SIGN STRUCTURE (SD9.10, TYPE 4C)",EACH
6060301,RELOCATE EXISTING BRIDGE SIGN STRUCTURE,L.SUM
6060302,RELOCATE EXISTING CANTILEVER SIGN STRUCTURE,EACH
6060303,RELOCATE EXISTING TAPERED TUBE SIGN STRUCTURE,L.SUM
6060351,RECONSTRUCT BRIDGE SIGN STRUCTURE FROM SALVAGE,EACH
6061001,SIGN MOUNT ASSEMBLY (FOR BRIDGE FASCIA),EACH
6061005,SIGN MOUNT ASSEMBLY (FOR BRIDGE FASCIA) (,EACH
6061010,SIGN MOUNT ASSEMBLY (FOR SIGN STRUCTURE),EACH
6061012,SIGN MOUNT ASSEMBLY (FOR SIGN STRUCTURE),EACH
6061015,SIGN MOUNT ASSEMBLY,EACH
6061016,SIGN MOUNT ASSEMBLY,EACH
6070001,BREAKAWAY SIGN POST S3X5.7,L.FT.
6070002,BREAKAWAY SIGN POST S4X7.7,L.FT.
6070003,BREAKAWAY SIGN POST W6X9,L.FT.
6070004,BREAKAWAY SIGN POST W6X12,L.FT.
6070006,BREAKAWAY SIGN POST W8X18,L.FT.
6070008,BREAKAWAY SIGN POST W10X22,L.FT.
6070022,FOUNDATION FOR BREAKAWAY SIGN POST S4X7.7,EACH
6070023,FOUNDATION FOR BREAKAWAY SIGN POST W6X9,EACH
6070024,FOUNDATION FOR BREAKAWAY SIGN POST W6X12,EACH
6070026,FOUNDATION FOR BREAKAWAY SIGN POST W8X18,EACH
6070028,FOUNDATION FOR BREAKAWAY SIGN POST W10X22,EACH
6070035,SIGN POST (PERFORATED) (SINGLE),L.FT.
6070038,SLIP BASE,EACH
6070039,SLIP BASE (,EACH
6070044,SIGN POST U-CHANNEL (GALVANIZED STEEL),EACH
6070045,SIGN POST U-CHANNEL (GALVANIZED STEEL) (,EACH
6070048,FOUNDATION FOR SQUARE TUBE POST,EACH
6070054,SIGN POST (PERFORATED) (2 S),L.FT.
6070055,SIGN POST (PERFORATED) (2 1/2 S),L.FT.
6070056,SIGN POST (PERFORATED) (2  T),L.FT.
6070057,SIGN POST (PERFORATED) (2 1/2 T),L.FT.
6070060,FOUNDATION FOR SIGN POST (CONCRETE),EACH
6070061,FOUNDATION FOR SIGN POST (SLEEVE),EACH
6071001,SIGN POST (,EACH
6071002,SIGN POST (,EACH
6071003,SIGN POST (,EACH
6071004,SIGN POST (,EACH
6071005,SIGN POST (,EACH
6071006,SIGN POST (,EACH
6071007,SIGN POST (,EACH
6071011,SIGN POST (,L.FT.
6071012,SIGN POST (,L.FT.
6071013,SIGN POST (,L.FT.
6071014,SIGN POST (,L.FT.
6080005,"REGULATORY, WARNING, OR MARKER SIGN PANEL",SQ.FT.
6080010,SIGN PANEL (,SQ.FT.
6080011,WARNING SIGN PANEL,SQ.FT.
6080018,EXTRUDED ALUMINUM SIGN PANEL,SQ.FT.
6080021,MARKER SIGN PANEL,SQ.FT.
6080025,FLAT SHEET ALUMINUM SIGN PANEL,SQ.FT.
6080041,"ARIZONA LOGO (6"")",EACH
6080042,"ARIZONA LOGO (8"")",EACH
6080043,"ARIZONA LOGO (12"")",EACH
6080050,SIGN PANEL (,SQ.FT.
6080051,SIGN PANEL (,SQ.FT.
6080052,SIGN PANEL (,SQ.FT.
6080055,SIGN PANEL (,EACH
6080081,FLAT SHEET ALUMINUM W/ DIRECT APPLY OR SILK-SCREEN CHARACTERS,SQ.FT.
6080090,GRAFFITI SHIELD,SQ.FT.
6080101,MISCELLANEOUS WORK (SIGNS),L.SUM
6080102,MISCELLANEOUS WORK (SIGNS),L.SUM
6080103,MISCELLANEOUS WORK (SIGNS),L.SUM
6080104,MISCELLANEOUS WORK (SIGNS),L.SUM
6080105,RELOCATE SIGNS,L.SUM
6080106,REMOVE AND RECONSTRUCT SIGN,EACH
6080107,MISCELLANEOUS WORK (SIGNS),L.SUM
6080109,REMOVE AND REINSTALL SIGN,L.SUM
6080110,REMOVE AND REINSTALL SIGN,EACH
6080120,SIGN (,EACH
6080201,MODIFY SIGN LEGEND,L.SUM
6090024,"DRILLED SHAFT FOUNDATION (24"")",L.FT.
6090030,"DRILLED SHAFT FOUNDATION (30"")",L.FT.
6090036,"DRILLED SHAFT FOUNDATION (36"")",L.FT.
6090042,"DRILLED SHAFT FOUNDATION (42"")",L.FT.
6090048,"DRILLED SHAFT FOUNDATION (48"")",L.FT.
6090054,"DRILLED SHAFT FOUNDATION (54"")",L.FT.
6090060,"DRILLED SHAFT FOUNDATION (60"")",L.FT.
6090066,"DRILLED SHAFT FOUNDATION (66"")",L.FT.
6090072,"DRILLED SHAFT FOUNDATION (72"")",L.FT.
6090078,"DRILLED SHAFT FOUNDATION (78"")",L.FT.
6090084,"DRILLED SHAFT FOUNDATION (84"")",L.FT.
6090096,"DRILLED SHAFT FOUNDATION (96"")",L.FT.
6090148,DRILLED SHAFT FOUNDATION (,L.FT.
6090149,DRILLED SHAFT FOUNDATION (,L.FT.
6091024,DRILLED SHAFT FOR FOUNDATION (,L.FT.
6091025,DRILLED SHAFT FOR FOUNDATION (,L.FT.
6091026,DRILLED SHAFT FOR FOUNDATION  (,L.FT.
6091027,DRILLED SHAFT FOR FOUNDATION (,L.FT.
6091030,DRILLED SHAFTS (ROCK) (,L.FT.
6091031,DRILLED SHAFTS (ROCK) (,L.FT.
6100011,PAINT BRIDGE (STA ),L.SUM
6100012,PAINT BRIDGE (STA ),L.SUM
6100021,PAINT STRUCTURE (,L.SUM
6100026,PAINT STRUCTURE (,SQ.FT.
6100401,ROCK STAINING,SQ.FT.
6110101,METAL HANDRAIL (WITH 2-FT CATWALK),L.FT.
6110200,METAL HANDRAIL (,L.FT.
6110201,METAL HANDRAIL,L.FT.
6110202,METAL HANDRAIL (,L.FT.
6110203,PROTECTIVE RAILING,L.FT.
6110301,TRAFFIC & PEDESTRIAN RAIL (,L.FT.
6120500,TIMBER STRUCTURE REPAIR,M.BD.FT.
7010003,MAINTENANCE AND PROTECTION OF TRAFFIC (,L.SUM
7010005,MAINTENANCE AND PROTECTION OF TRAFFIC,L.SUM
7010006,FURNISH AND INSTALL TEMPORARY TRAFFIC CONTROL DEVICES,L.SUM
7010007,TEMPORARY CONCRETE BARRIER (TO REMAIN),L.FT.
7010008,TEMPORARY CONCRETE BARRIER (NEW INSTALLATION) (SPECIAL),L.FT.
7010009,TEMPORARY IMPACT ATTENUATION DEVICES (IN USE),EACH
7010010,TEMPORARY CONCRETE BARRIER,L.FT.
7010011,TEMPORARY CONCRETE BARRIER (IN USE),L.FT.
7010012,TEMPORARY IMPACT ATTENUATION DEVICES,EACH
7010018,CONSTRUCTION SIGNS (ADDITIONAL),SQ.FT.
7010021,MAINTAIN DEPARTMENT FURNISHED SIGN,DAY
7010025,TEMPORARY IMPACT ATTENUATION DEVICE (IN-LINE ENERGY ABSORBING TERM.),EACH
7010026,TEMPORARY IMPACT ATTENUTION DEVICE (IN-LINE ENERGY ABSORBING TERM.) (IN USE),EACH-DAY
7010031,TRUCK MOUNTED ATTENUATOR,HOUR
7010032,TRUCK MOUNTED ATTENUATOR (,HOUR
7010061,TEMPORARY CONCRETE BARRIER (SPECIAL) (,L.FT.
7010062,GLARE SCREEN FOR TEMPORARY CONCRETE BARRIER,L.FT.
7010063,TEMPORARY PAVEMENT MARKER ( (,EACH
7010126,BARRICADE (,L.FT.
7010127,BARRICADE (,EACH
7010128,BARRICADE (TYPE A),EACH
7010132,BARRICADE (TYPE 2),EACH
7010133,"BARRICADE (TRAFFIC CONTROL MANUAL 6C-8, TYPE III)",EACH
7010135,BARRICADE (TYPE 3) (,EACH
7010185,TRAFFIC BARREL (PLASTIC),EACH
7010301,TEMPORARY PAVEMENT MARKING (RAISED MARKER),EACH
7010302,TEMPORARY PAVEMENT MARKER (TYPE Y),EACH
7010303,TEMPORARY PAVEMENT MARKER (TYPE W),EACH
7010304,TEMPORARY PAVEMENT MARKER (TYPE YD),EACH
7010305,TEMPORARY PAVEMENT MARKER (TYPE WD),EACH
7010526,INSTALL AND REMOVE TEMPORARY UNDERDECK LUMINAIRE,EACH
7010527,RELOCATE TEMPORARY UNDERDECK LUMINAIRE,EACH
7010528,INSTALL AND REMOVE TEMPORARY LIGHT POLE,EACH
7010529,RELOCATE TEMPORARY LIGHT POLE,EACH
7010901,ROADWAY SWEEPING,HOUR
7015010,TEMPORARY CONCRETE BARRIER (INSTALLATION AND REMOVAL),L.FT.
7015020,TEMPORARY IMPACT ATTENUATORS (INSTALLATION AND REMOVAL),EACH
7015032,"TEMPORARY PREFORMED MARKING (TYPE II, TAPE LINE)",L.FT.
7015036,"TEMPORARY PREFORMED MARKING (ARROW, SYMBOL OR LEGEND)",EACH
7015051,"OBLITERATE PAVEMENT MARKING (ARROW, SYMBOL OR LEGEND)",EACH
7015052,OBLITERATE PAVEMENT MARKING (STRIPE),L.FT.
7015061,TEMPORARY PAVEMENT MARKERS (RAISED) (REFLECTIVE),EACH
7015069,TEMPORARY PAVEMENT MARKERS (CHIP SEAL),EACH
7015070,OBLITERATE PAVEMENT MARKERS,EACH
7015080,TEMPORARY DELINEATORS,EACH
7015091,SPECIALTY SIGNS,SQ.FT.
7016020,TEMPORARY CONCRETE BARRIER (IN USE),L.FT.-DAY
7016021,TEMPORARY IMPACT ATTENUATORS (IN USE),EACH-DAY
7016029,PORTABLE SIGN STANDS-BARRIER MOUNTED,EACH-DAY
7016030,"BARRICADE (TYPE 1, TYPE 2, VERT.PANEL, TUBULAR MARKER)",EACH-DAY
7016031,"BARRICADE (TYPE 3, HIGH LEVEL FLAG TREE)",EACH-DAY
7016032,PORTABLE SIGN STAND (RIGID),EACH-DAY
7016033,PORTABLE SIGN STAND (SPRING TYPE),EACH-DAY
7016034,DRUM,EACH-DAY
7016035,WARNING LIGHT (TYPE A),EACH-DAY
7016036,WARNING LIGHT (TYPE B),EACH-DAY
7016037,WARNING LIGHT (TYPE C),EACH-DAY
7016038,TRAFFIC CONE,EACH-DAY
7016039,EMBEDDED SIGN POST,EACH-DAY
7016050,TRUCK-MOUNTED ATTENUATOR,EACH-DAY
7016051,TEMPORARY SIGN (LESS THAN 10 S.F.),EACH-DAY
7016052,TEMPORARY SIGN (10 S.F. OR MORE),EACH-DAY
7016061,FLASHING ARROW PANEL,EACH-DAY
7016067,CHANGEABLE MESSAGE BOARD (CONTRACTOR FURNISHED),EACH-DAY
7016068,DRUM,EACH-DAY
7016069,TEMPORARY WATER-FILLED BARRIER,L.FT.-DAY
7016071,PILOT VEHICLE WITH DRIVER,HOUR
7016075,FLAGGING SERVICES (CIVILIAN),HOUR
7016079,FLAGGING SERVICES (UNIFORMED OFFICER),HOUR
7017001,AUTOMATED FLAGGER ASSISTANCE DEVICE (INSTALL & REMOVE),L.SUM
7017005,AUTOMATED FLAGGER DEVICE (IN USE),DAY
7017020,TEMPORARY AND PORTABLE TRAFFIC CONTROL SIGNAL (INSTALL & REMOVE),L.SUM
7017025,TEMPORARY AND PORTABLE TRAFFIC CONTROL SIGNAL (IN USE),DAY
7017030,SEQUENTIAL FLASHING WARNING LIGHT,EACH-DAY
7017050,TEMPORARY PORTABLE RUMBLE STRIPS (INSTALLATION AND REMOVAL),EACH
7017051,TEMPORARY PORTABLE RUMBLE STRIPS (IN-USE),EACH-DAY
7020001,IMPACT ATTENUATION DEVICE (ENERGY ABSORBING TERMINAL),EACH
7020007,IMPACT ATTENUATION DEVICE (,EACH
7020008,IMPACT ATTENUATION DEVICE (,EACH
7020009,IMPACT ATTENUATION DEVICE (,EACH
7020010,IMPACT ATTENUATION DEVICE (,EACH
7020011,"IMPACT ATTENUATION DEVICE(SAND BARREL CRASH CUSHION,TYPE A)",EACH
7020012,"IMPACT ATTENUATION DEVICE(SAND BARREL CRASH CUSHION,TYPE B)",EACH
7020013,IMPACT ATTENUATION DEVICE (SAND BARREL CRASH CUSHION),EACH
7020015,RECONSTRUCT SAND BARREL CRASH CUSHION,EACH
7020021,REMOVE AND RECONSTRUCT IMPACT ATTENUATION DEVICE,L.SUM
7030008,DELINEATOR (,EACH
7030009,DELINEATOR (,EACH
7030018,OBJECT MARKER (FLEXIBLE),EACH
7030019,OBJECT MARKER (FLEXIBLE) (TYPE 2),EACH
7030024,MULTI-DIRECTIONAL DELINEATOR (360 DEGREE) (FLEXIBLE),EACH
7030025,DELINEATOR ASSEMBLY (FLEXIBLE) (DRIVEN FOUNDATION),EACH
7030026,DELINEATOR ASSEMBLY (FLEXIBLE) (CONCRETE FOUNDATION),EACH
7030027,DELINEATOR ASSEMBLY (FLEXIBLE) (SURFACE-MOUNTED),EACH
7030038,FOUNDATION FOR MILEPOST MARKER,EACH
7030051,RESET DELINEATOR,EACH
7030053,RESET MILEPOST MARKER,EACH
7030061,HIGHWAY WILDLIFE REFLECTOR,EACH
7030062,HIGHWAY WILDLIFE REFLECTOR (,EACH
7030070,DELINEATOR (M-31) (SINGLE GREEN),EACH
7030071,DELINEATOR (M-31) (DOUBLE GREEN),EACH
7030075,DELINEATOR (SINGLE WHITE OR SINGLE YELLOW),EACH
7030076,DELINEATOR (DOUBLE WHITE OR DOUBLE YELLOW),EACH
7030077,DELINEATOR (360 DEGREES  WHITE OR  YELLOW),EACH
7030080,OBJECT MARKER (M-23) (TYPE  3),EACH
7030081,OBJECT MARKER (M-23) (TYPE  3-2),EACH
7030082,OBJECT MARKER (M-23) (TYPE  2),EACH
7030083,OBJECT MARKER (M-32) (TYPE BM-1 OR BM-2),EACH
7030084,OBJECT MARKER (M-23) (TYPE 1 OR 4),EACH
7030085,OBJECT MARKER (,EACH
7030090,REFERENCE MARKER (M-30),EACH
7030094,MILEPOST MARKER (S-10) (ON EXISTING FOUNDATION),EACH
7030095,MILEPOST MARKER (S-10),EACH
7030096,MILEPOST MARKER (S-10) (ON EXISTING POST),EACH
7040005,"PAVEMENT MARKING (WHITE EXTRUDED THERMOPLASTIC) (0.090"")",L.FT.
7040006,"PAVEMENT MARKING (YELLOW EXTRUDED THERMOPLASTIC) (0.090"")",L.FT.
7040007,"PAVEMENT MARKING (WHITE EXTRUDED THERMOPLASTIC)(0.120"")",L.FT.
7040008,"PAVEMENT MARKING (YELLOW EXTRUDED THERMOPLASTIC)(0.120"")",L.FT.
7040072,"PAVEMENT MARKING (TRANSVERSE) (THERMOPLASTIC) (ALKYD) (0.090"")",L.FT.
7040073,"PAVEMENT LEGEND (EXTRUDED THERMOPLASTIC) (ALKYD) (0.090"")",EACH
7040074,"PAVEMENT SYMBOL (EXTRUDED THERMOPLASTIC) (ALKYD) (0.090"")",EACH
7040075,"PAVEMENT MARKING (TRANSVERSE)(THERMOPLASTIC)(ALKYD)(0.120"")",L.FT.
7040076,"PAVEMENT LEGEND (EXTRUDED THERMOPLASTIC)(ALKYD)(0.120"")",EACH
7040077,"PAVEMENT SYMBOL (EXTRUDED THERMOPLASTIC)(ALKYD)(0.120"")",EACH
7041501,PAVEMENT MARKINGS,L.SUM
7042031,PRIMER-SEALER FOR PCCP THERMOPLASTIC STRIPING,L.FT.
7042032,PRIMER SEALER FOR P.C.C.P. (,EACH
7042033,PRIMER-SEALER FOR THERMOPLASTIC STRIPING (,L.FT.
7042036,PRIMER-SEALER FOR PCCP THERMOPLASTIC SYMBOL/LEGEND,EACH
7042037,PRIMER SEALER FOR CONCRETE,L.FT.
7042038,PRIMER-SEALER FOR PCCP THERMOPLASTIC SYMBOL/LEGEND (,EACH
7042051,REMOVAL OF CURING COMPOUND FOR STRIPING,L.FT.
7042056,REMOVAL OF CURING COMPOUND FOR SYMBOL/LEGEND,EACH
7050016,"PAVEMENT MARKING, PREFORMED, TYPE I, WHITE (INLAY METHOD)",L.FT.
7050019,"PAVEMENT MARKING, PREFORMED, LEGEND, TYPE I",EACH
7050020,"PAVEMENT MARKING, PREFORMED, TRANSVERSE, TYPE I",L.FT.
7050021,"PAVEMENT MARKING, PREFORMED, YELLOW STRIPE, TYPE I",L.FT.
7050022,"PAVEMENT MARKING, PREFORMED, WHITE STRIPE, TYPE I",L.FT.
7050023,"PAVEMENT MARKING, PREFORMED, SINGLE ARROW, TYPE I",EACH
7050024,"PAVEMENT MARKING, PREFORMED, DOUBLE ARROW, TYPE I",EACH
7050025,"PAVEMENT MARKING, PREFORMED, LETTER, TYPE I",EACH
7050026,"PAVEMENT MARKING, PREFORMED, LEGEND (ONLY), TYPE I",EACH
7050028,"PAVEMENT MARKING, PREFORMED,SYMBOL, TYPE I",EACH
7050029,"PAVEMENT MARKING, PREFORMED, FREEWAY ARROW, TYPE I",EACH
7050031,"PAVEMENT MARKING, PREFORMED, TYPE II YELLOW STRIPE",L.FT.
7050032,"PAVEMENT MARKING, PREFORMED, TYPE II WHITE STRIPE",L.FT.
7050033,"PAVEMENT MARKING, PREFORMED, TYPE II SINGLE ARROW",EACH
7050035,"PAVEMENT MARKING, PREFORMED, TYPE II LETTER",EACH
7050036,"PAVEMENT MARKING, PREFORMED, TYPE II LEGEND",EACH
7050041,"PAVEMENT MARKING, PREFORMED, TYPE III, YELLOW STRIPE",L.FT.
7050046,"PAVEMENT MARKING, PREFORMED, TYPE III, LEGEND",EACH
7050050,"PAVEMENT MARKING, PREFORMED, CONTRAST, TYPE I",L.FT.
7050056,"PAVEMENT MARKING, PREFORMED, SYMBOL, TYPE I/IV",EACH
7050057,"PAVEMENT MARKING, PREFORMED, LEGEND, TYPE I/IV",EACH
7050058,"PAVEMENT MARKING, PREFORMED, SHORT LINE, TYPE I/IV",L.FT.
7050059,"PAVEMENT MARKING, PREFORMED, ROUTE-TO-ROUTE LEGEND, TYPE I/IV",EACH
7050060,"PAVEMENT MARKING, PREFORMED, LEGEND, TYPE IV",EACH
7050061,"PAVEMENT MARKING, PREFORMED, YELLOW STRIPE, TYPE IV",L.FT.
7050062,"PAVEMENT MARKING, PREFORMED, WHITE STRIPE, TYPE IV",L.FT.
7050063,"PAVEMENT MARKING, PREFORMED, SINGLE ARROW, TYPE IV",EACH
7050064,"PAVEMENT MARKING, PREFORMED, DOUBLE ARROW, TYPE IV",EACH
7050065,"PAVEMENT MARKING, PREFORMED, LETTER, TYPE IV",EACH
7050066,"PAVEMENT MARKING, PREFORMED, LEGEND (ONLY), TYPE IV",EACH
7050067,"PAVEMENT MARKING, PREFORMED, SYMBOL, TYPE IV",EACH
7050068,"PAVEMENT MARKING, PREFORMED, FREEWAY ARROW, TYPE IV",EACH
7050069,"PAVEMENT MARKING, PREFORMED, TRANSVERSE, TYPE IV",L.FT.
7050070,PRIMER-SEALER FOR PCCP (STRIPING),L.FT.
7050071,PRIMER-SEALER FOR PCCP (SYMBOL/LEGEND),EACH
7050074,REMOVAL OF CURING COMPOUND (PCCP) (STRIPING),L.FT.
7050075,REMOVAL OF CURING COMPOUND (PCCP) (SYMBOL/LEGEND),EACH
7060001,"PAVEMENT MARKER, RAISED (RETROREFLECTIVE)",EACH
7060002,"PAVEMENT MARKER, RAISED (NON-REFLECTIVE)",EACH
7060011,"PAVEMENT MARKER, RAISED, TYPE A",EACH
7060012,"PAVEMENT MARKER, RAISED, TYPE AY",EACH
7060013,"PAVEMENT MARKER, RAISED, TYPE C",EACH
7060015,"PAVEMENT MARKER, RAISED, TYPE D",EACH
7060016,"PAVEMENT MARKER, RAISED, TYPE AB",EACH
7060017,"PAVEMENT MARKER, RAISED, TYPE E",EACH
7060018,"PAVEMENT MARKER, RAISED, TYPE G",EACH
7060019,"PAVEMENT MARKER, RAISED, TYPE H",EACH
7060021,"PAVEMENT MARKER, RAISED, TYPE J CHANNEL MARKER",EACH
7060022,"PAVEMENT MARKER, RAISED, TYPE JY CHANNEL MARKER",EACH
7060031,"PAVEMENT MARKER, RAISED, TYPE K JIGGLE BAR",EACH
7060032,"PAVEMENT MARKER, RAISED, TYPE KY JIGGLE BAR",EACH
7060100,"PAVEMENT MARKER, RECESSED, TYPE C",EACH
7060101,"PAVEMENT MARKER, RECESSED, TYPE D",EACH
7060102,"PAVEMENT MARKER, RECESSED, TYPE E",EACH
7060111,"PAVEMENT MARKER, RECESSED, TYPE G",EACH
7060113,"PAVEMENT MARKER, RECESSED, TYPE H",EACH
7060131,"PAVEMENT MARKER, SNOWPLOWABLE",EACH
7060140,PAVEMENT MARKER (,EACH
7080201,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED) (WHITE),L.FT.
7080202,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED) (YELLOW),L.FT.
7080203,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED) (WHITE OR YELLOW),L.FT.
7080204,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED SYMBOL),EACH
7080205,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED SYMBOL) (,EACH
7080206,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED SYMBOL) (ARROW),EACH
7080207,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED LEGEND) (,EACH
7080208,WATERBORNE-TYPE I PAVEMENT MARKING (PAINTED LEGEND) (ONLY),EACH
7080301,PAINT BULL NOSE,EACH
7080401,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED) (WHITE),L.FT.
7080402,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED) (YELLOW),L.FT.
7080403,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED) (WHITE OR YELLOW),L.FT.
7080404,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED SYMBOL),EACH
7080405,WATERBORNE-TYPE II PAVEMENT MARKING (PAINTED SYMBOL) (,EACH
